case_no,court,sido,sgg,address,property_type,appraisal_amount,min_bid,auction_round,auction_date,status
2025타경10000,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 1,오피스텔,200000000,128000000,3,2026-01-08,진행
2025타경10001,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 2,아파트,400000000,204800000,4,2026-01-01,진행
2025타경10002,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 3,상가,1800000000,1800000000,1,2026-03-07,매각
2025타경10003,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 4,오피스텔,1600000000,1024000000,3,2026-01-25,매각
2025타경10004,수원지방법원,경기도,수원시,경기도 수원시 샘플로 5,다세대,1000000000,800000000,2,2026-01-25,진행
2025타경10005,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 6,다세대,1400000000,1400000000,1,2026-02-28,유찰
2025타경10006,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 7,토지,2500000000,1280000000,4,2026-03-04,진행
2025타경10007,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 8,아파트,1100000000,704000000,3,2026-03-07,진행
2025타경10008,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 9,아파트,1100000000,1100000000,1,2026-01-28,매각
2025타경10009,수원지방법원,경기도,수원시,경기도 수원시 샘플로 10,다세대,1600000000,1024000000,3,2026-01-12,진행
2025타경10010,수원지방법원,경기도,수원시,경기도 수원시 샘플로 11,오피스텔,2400000000,2400000000,1,2026-03-21,진행
2025타경10011,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 12,상가,1600000000,819200000,4,2026-02-21,진행
2025타경10012,수원지방법원,경기도,수원시,경기도 수원시 샘플로 13,다세대,300000000,240000000,2,2026-01-26,매각
2025타경10013,수원지방법원,경기도,수원시,경기도 수원시 샘플로 14,다세대,400000000,320000000,2,2026-03-23,진행
2025타경10014,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 15,오피스텔,1400000000,716800000,4,2026-01-09,진행
2025타경10015,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 16,토지,1900000000,1216000000,3,2026-03-19,매각
2025타경10016,수원지방법원,경기도,수원시,경기도 수원시 샘플로 17,아파트,900000000,720000000,2,2026-03-16,진행
2025타경10017,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 18,상가,600000000,480000000,2,2026-03-14,진행
2025타경10018,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 19,상가,1400000000,716800000,4,2026-03-09,진행
2025타경10019,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 20,아파트,2300000000,1472000000,3,2026-03-11,유찰
2025타경10020,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 21,다세대,700000000,358400000,4,2026-01-24,진행
2025타경10021,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 22,상가,500000000,320000000,3,2026-03-17,진행
2025타경10022,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 23,상가,1300000000,1040000000,2,2026-03-25,진행
2025타경10023,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 24,다세대,1200000000,614400000,4,2026-01-04,유찰
2025타경10024,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 25,아파트,300000000,240000000,2,2026-03-03,매각
2025타경10025,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 26,토지,1900000000,1520000000,2,2026-01-22,진행
2025타경10026,수원지방법원,경기도,수원시,경기도 수원시 샘플로 27,오피스텔,1800000000,921600000,4,2026-01-18,유찰
2025타경10027,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 28,토지,2300000000,1472000000,3,2026-02-17,진행
