date,currency,rate,unit
2026-01-02,USD,1379.75,KRW
2026-01-05,USD,1377.56,KRW
2026-01-06,USD,1374.6,KRW
2026-01-07,USD,1373.97,KRW
2026-01-08,USD,1376.02,KRW
2026-01-09,USD,1375.3,KRW
2026-01-12,USD,1377.48,KRW
2026-01-13,USD,1377.12,KRW
2026-01-14,USD,1376.7,KRW
2026-01-15,USD,1378.64,KRW
2026-01-16,USD,1379.55,KRW
2026-01-19,USD,1380.12,KRW
2026-01-20,USD,1378.92,KRW
2026-01-21,USD,1379.54,KRW
2026-01-22,USD,1380.71,KRW
2026-01-23,USD,1380.58,KRW
2026-01-26,USD,1378.65,KRW
2026-01-27,USD,1378.04,KRW
2026-01-28,USD,1376.95,KRW
2026-01-29,USD,1378.36,KRW
2026-01-30,USD,1379.16,KRW
2026-02-02,USD,1381.97,KRW
2026-02-03,USD,1383.66,KRW
2026-02-04,USD,1382.61,KRW
2026-02-05,USD,1381.3,KRW
2026-02-06,USD,1383.01,KRW
2026-02-09,USD,1382.2,KRW
2026-02-10,USD,1384.79,KRW
2026-02-11,USD,1382.99,KRW
2026-02-12,USD,1385.98,KRW
2026-02-13,USD,1384.06,KRW
2026-02-16,USD,1385.66,KRW
2026-02-17,USD,1382.82,KRW
2026-02-18,USD,1384.19,KRW
2026-02-19,USD,1386.84,KRW
2026-02-20,USD,1385.1,KRW
2026-02-23,USD,1386.89,KRW
2026-02-24,USD,1388.88,KRW
2026-02-25,USD,1386.29,KRW
2026-02-26,USD,1388.38,KRW
2026-02-27,USD,1390.15,KRW
2026-03-02,USD,1391.19,KRW
2026-03-03,USD,1389.02,KRW
2026-03-04,USD,1387.84,KRW
2026-03-05,USD,1386.35,KRW
2026-03-06,USD,1384.28,KRW
2026-03-09,USD,1383.82,KRW
2026-03-10,USD,1383.08,KRW
2026-03-11,USD,1382.77,KRW
2026-03-12,USD,1383.36,KRW
2026-03-13,USD,1383.85,KRW
2026-03-16,USD,1384.06,KRW
2026-03-17,USD,1386.6,KRW
