region_code,region_name,legal_dong,apt_name,area,floor,deal_amount,deal_year,deal_month,deal_day,build_year,deal_type
11680,강남구,역삼동,자이강남구,114.0,15,393104,2026,1,22,2018,직거래
11680,강남구,역삼동,아이파크강남구,115.13,15,402036,2026,1,6,2022,직거래
11680,강남구,역삼동,아이파크강남구,85.4,16,293776,2026,1,21,2012,직거래
11680,강남구,역삼동,힐스테이트강남구,84.05,11,242559,2026,1,18,2005,중개거래
11680,강남구,대치동,자이강남구,59.36,3,195537,2026,1,14,2022,직거래
11680,강남구,역삼동,푸르지오강남구,114.43,25,304647,2026,1,19,2005,직거래
11680,강남구,역삼동,푸르지오강남구,83.91,18,247687,2026,1,24,2012,직거래
11680,강남구,역삼동,힐스테이트강남구,59.45,22,183428,2026,1,22,2022,중개거래
11680,강남구,대치동,래미안강남구,85.74,13,307007,2026,1,19,2005,중개거래
11680,강남구,개포동,래미안강남구,114.36,9,396459,2026,1,13,2018,중개거래
11680,강남구,역삼동,힐스테이트강남구,84.55,25,284204,2026,1,27,2022,직거래
11680,강남구,개포동,힐스테이트강남구,59.84,8,200407,2026,1,21,2005,중개거래
11680,강남구,개포동,아이파크강남구,60.8,5,170198,2026,1,8,2012,직거래
11680,강남구,역삼동,힐스테이트강남구,113.73,25,403482,2026,1,12,2012,중개거래
11680,강남구,개포동,힐스테이트강남구,60.83,19,164732,2026,1,22,2022,직거래
11680,강남구,대치동,자이강남구,113.9,4,363569,2026,1,23,2018,중개거래
11680,강남구,역삼동,힐스테이트강남구,115.07,3,339120,2026,1,17,2018,중개거래
11680,강남구,역삼동,푸르지오강남구,85.54,23,231444,2026,1,5,2022,중개거래
11680,강남구,대치동,아이파크강남구,114.54,25,372318,2026,1,16,2022,직거래
11680,강남구,개포동,래미안강남구,114.68,9,335144,2026,1,15,2012,직거래
11680,강남구,개포동,푸르지오강남구,114.72,11,341751,2026,1,6,2022,중개거래
11680,강남구,대치동,힐스테이트강남구,85.5,18,251386,2026,1,1,2012,중개거래
11680,강남구,개포동,푸르지오강남구,60.34,21,186365,2026,1,23,2022,직거래
11680,강남구,대치동,자이강남구,59.09,10,166717,2026,1,22,2018,직거래
11680,강남구,대치동,아이파크강남구,114.56,11,346607,2026,1,12,2022,직거래
11680,강남구,개포동,힐스테이트강남구,84.4,4,229630,2026,1,24,2012,중개거래
11680,강남구,대치동,아이파크강남구,60.38,20,173675,2026,1,10,2005,중개거래
11680,강남구,개포동,아이파크강남구,84.35,5,234459,2026,1,9,2005,중개거래
11680,강남구,대치동,푸르지오강남구,114.08,4,404324,2026,1,28,2005,직거래
11680,강남구,개포동,힐스테이트강남구,84.86,16,249540,2026,1,4,2005,직거래
11680,강남구,개포동,자이강남구,84.05,5,271428,2026,1,26,2018,중개거래
11680,강남구,대치동,아이파크강남구,59.14,20,198962,2026,1,8,2022,직거래
11680,강남구,역삼동,힐스테이트강남구,84.49,19,269413,2026,1,20,2005,중개거래
11680,강남구,개포동,자이강남구,60.15,8,172311,2026,1,6,2005,중개거래
11680,강남구,역삼동,힐스테이트강남구,59.72,2,196431,2026,1,8,2018,직거래
11680,강남구,개포동,힐스테이트강남구,115.22,21,307771,2026,1,19,2012,직거래
11680,강남구,역삼동,자이강남구,59.99,3,194822,2026,1,2,2012,직거래
11680,강남구,역삼동,푸르지오강남구,115.0,4,364452,2026,1,15,2018,직거래
11680,강남구,개포동,아이파크강남구,84.9,2,262666,2026,1,14,2018,직거래
11680,강남구,대치동,아이파크강남구,59.08,1,210447,2026,1,25,2018,중개거래
11650,서초구,서초동,자이서초구,59.84,19,182605,2026,1,14,2022,중개거래
11650,서초구,반포동,자이서초구,84.6,11,231226,2026,1,14,2022,직거래
11650,서초구,반포동,푸르지오서초구,115.39,3,370814,2026,1,11,2018,직거래
